[ALERT] Time: 1745660114718 | Sensor: 1 | Type: Upper Threshold Crossed | Temp: 84.4316 C
[ALERT] Time: 1745660114718 | Sensor: 5 | Type: Isolated High Spike | Temp: 42.6941 C [NOTE] Neighbouring Sensors 4 and 6 are normal. 
[CRITICAL] Time: 1745660114718 | Sensors: 4, 5, 6 | Type: Clustered Low Spike | Avg Temp: 35 C
[ALERT] Time: 1745660114718 | Sensor: 6 | Type: Isolated High Spike | Temp: 40.2252 C [NOTE] Neighbouring Sensors 5 and 7 are normal. 
[ALERT] Time: 1745660114718 | Sensor: 12 | Type: Upper Threshold Crossed | Temp: 80.3151 C
[ALERT] Time: 1745660114718 | Sensor: 11 | Type: Isolated High Spike | Temp: 16.4756 C [NOTE] Neighbouring Sensors 10 and 12 are normal. 
[ALERT] Time: 1745660114718 | Sensor: 8 | Type: Isolated Low Spike | Temp: 10.3631 C [NOTE] Neighbouring Sensors 7 and 9 are normal.
[ALERT] Time: 1745660114718 | Sensor: 6 | Type: Isolated Low Spike | Temp: 40.2252 C [NOTE] Neighbouring Sensors 5 and 7 are normal.
[ALERT] Time: 1745660114718 | Sensor: 10 | Type: Isolated High Spike | Temp: 24.6766 C [NOTE] Neighbouring Sensors 9 and 11 are normal. 
[ALERT] Time: 1745660114718 | Sensor: 12 | Type: Isolated High Spike | Temp: 80.3151 C [NOTE] Neighbouring Sensors 11 and 13 are normal. 
[WARNING] Time: 1745660114718 | Sensor: 2 | Type: Cold Spot Detected | Temp: 40.3863
[WARNING] Time: 1745660114718 | Sensor: 11 | Type: Cold Spot Detected | Temp: 16.4756
[WARNING] Time: 1745660114718 | Sensor: 6 | Type: Cold Spot Detected | Temp: 40.2252
[ALERT] Time: 1745660114718 | Sensor: 13 | Type: Isolated High Spike | Temp: 44.5921 C [NOTE] Neighbouring Sensors 12 and 14 are normal. 
[WARNING] Time: 1745660114718 | Sensor: 8 | Type: Cold Spot Detected | Temp: 10.3631
[ALERT] Time: 1745660114718 | Sensor: 14 | Type: Isolated High Spike | Temp: 44.6639 C [NOTE] Neighbouring Sensors 13 and 15 are normal. 
[WARNING] Time: 1745660114718 | Sensor: 10 | Type: Cold Spot Detected | Temp: 24.6766
[WARNING] Time: 1745660114718 | Sensor: 9 | Type: Cold Spot Detected | Temp: 20.6384
[ALERT] Time: 1745660114819 | Sensor: 14 | Type: Isolated High Spike | Temp: 43.6127 C [NOTE] Neighbouring Sensors 13 and 15 are normal. 
[ALERT] Time: 1745660114718 | Sensor: 11 | Type: Isolated Low Spike | Temp: 16.4756 C [NOTE] Neighbouring Sensors 10 and 12 are normal.
[ALERT] Time: 1745660114819 | Sensor: 11 | Type: Isolated Low Spike | Temp: 42.4676 C [NOTE] Neighbouring Sensors 10 and 12 are normal.
[WARNING] Time: 1745660114819 | Sensor: 11 | Type: Cold Spot Detected | Temp: 42.4676
[ALERT] Time: 1745660114718 | Sensor: 8 | Type: Lower Threshold Crossed | Temp: 10.3631 C
[ALERT] Time: 1745660114819 | Sensor: 10 | Type: Isolated High Spike | Temp: 43.4588 C [NOTE] Neighbouring Sensors 9 and 11 are normal. 
[WARNING] Time: 1745660114819 | Sensor: 14 | Type: Cold Spot Detected | Temp: 43.6127
[ALERT] Time: 1745660114819 | Sensor: 7 | Type: Isolated High Spike | Temp: 43.6127 C [NOTE] Neighbouring Sensors 6 and 8 are normal. 
[WARNING] Time: 1745660114718 | Sensor: 4 | Type: Cold Spot Detected | Temp: 23.2155
[ALERT] Time: 1745660114819 | Sensor: 13 | Type: Isolated High Spike | Temp: 44.5984 C [NOTE] Neighbouring Sensors 12 and 14 are normal. 
[CRITICAL] Time: 1745660114819 | Sensors: 8, 9, 10 | Type: Clustered Low Spike | Avg Temp: 31 C
[WARNING] Time: 1745660114819 | Sensor: 9 | Type: Cold Spot Detected | Temp: 40.6589
[WARNING] Time: 1745660114819 | Sensor: 10 | Type: Cold Spot Detected | Temp: 43.4588
[ALERT] Time: 1745660114819 | Sensor: 12 | Type: Isolated High Spike | Temp: 44.6785 C [NOTE] Neighbouring Sensors 11 and 13 are normal. 
[WARNING] Time: 1745660114819 | Sensor: 3 | Type: Cold Spot Detected | Temp: 42.3505
[ALERT] Time: 1745660114819 | Sensor: 8 | Type: Isolated High Spike | Temp: 44.6912 C [NOTE] Neighbouring Sensors 7 and 9 are normal. 
[WARNING] Time: 1745660114819 | Sensor: 4 | Type: Cold Spot Detected | Temp: 40.8695
[ALERT] Time: 1745660114819 | Sensor: 2 | Type: Isolated High Spike | Temp: 44.2424 C [NOTE] Neighbouring Sensors 1 and 3 are normal. 
[ALERT] Time: 1745660114932 | Sensor: 7 | Type: Isolated Low Spike | Temp: 43.1973 C [NOTE] Neighbouring Sensors 6 and 8 are normal.
[WARNING] Time: 1745660114932 | Sensor: 6 | Type: Cold Spot Detected | Temp: 40.3962
[ALERT] Time: 1745660114932 | Sensor: 11 | Type: Isolated High Spike | Temp: 43.4373 C [NOTE] Neighbouring Sensors 10 and 12 are normal. 
[WARNING] Time: 1745660114932 | Sensor: 7 | Type: Cold Spot Detected | Temp: 43.1973
[WARNING] Time: 1745660114932 | Sensor: 11 | Type: Cold Spot Detected | Temp: 43.4373
[ALERT] Time: 1745660114819 | Sensor: 9 | Type: Isolated Low Spike | Temp: 40.6589 C [NOTE] Neighbouring Sensors 8 and 10 are normal.
[ALERT] Time: 1745660114932 | Sensor: 10 | Type: Isolated High Spike | Temp: 44.1679 C [NOTE] Neighbouring Sensors 9 and 11 are normal. 
